,ID,Label,Hemi,Network,regions,x,y,z,colors
42,43,L_superiorfrontal,L,NA,cortex,-9.719918423,27.1617947,44.71991842,NA
43,44,L_superiorparietal,L,NA,cortex,-20.79844459,-67.53985742,49.35968892,NA
44,45,L_superiortemporal,L,NA,cortex,-53.0728972,-10.26417445,-4.429906542,NA
45,46,L_supramarginal,L,NA,cortex,-54.09777139,-36.53199137,32.69590223,NA
46,47,L_frontalpole,L,NA,cortex,-6.673684211,66.18947368,-8.189473684,NA
47,48,L_temporalpole,L,NA,cortex,-28.65707434,12.3501199,-37.80815348,NA
48,49,L_transversetemporal,L,NA,cortex,-44.4137931,-21.79310345,6.913793103,NA
49,50,L_insula,L,NA,cortex,-35.48061105,0.098707403,-1.755581669,NA
50,51,R_bankssts,R,NA,cortex,54.91764706,-40.07058824,3.458823529,NA
51,52,R_caudalanteriorcingulate,R,NA,cortex,6.421052632,20.94736842,26.31578947,NA
52,53,R_caudalmiddlefrontal,R,NA,cortex,38.04669261,11.20363165,48.78339818,NA
53,54,R_cuneus,R,NA,cortex,-2,-75,8,NA
54,55,R_entorhinal,R,NA,cortex,23.00411523,-3.909465021,-33.63786008,NA
55,56,R_fusiform,R,NA,cortex,35.5620438,-38.42335766,-24.54663423,NA
56,57,R_inferiorparietal,R,NA,cortex,47.41059255,-60.91347666,34.03146303,NA
57,58,R_inferiortemporal,R,NA,cortex,51.68844985,-29.25379939,-25.11094225,NA
58,59,R_isthmuscingulate,R,NA,cortex,8.759878419,-44.89969605,16.86322188,NA
59,60,R_lateraloccipital,R,NA,cortex,34.82924226,-84.02454642,1.718249733,NA
60,61,R_lateralorbitofrontal,R,NA,cortex,23.02032914,31.89738625,-18.48015489,NA
61,62,R_lingual,R,NA,cortex,14.39278132,-67.49044586,-5.267515924,NA
62,63,R_medialorbitofrontal,R,NA,cortex,6.059405941,36.61386139,-17.54785479,NA
63,64,R_middletemporal,R,NA,cortex,59.37000655,-22.24885396,-13.57956778,NA
64,65,R_parahippocampal,R,NA,cortex,21.19298246,-31.20467836,-15.84795322,NA
65,66,R_paracentral,R,NA,cortex,7.08559499,-23.20668058,56.01670146,NA
66,67,R_parsopercularis,R,NA,cortex,48.57494867,15.56468172,11.08008214,NA
67,68,R_parsorbitalis,R,NA,cortex,44.07832898,39.87989556,-12.12010444,NA
68,69,R_parstriangularis,R,NA,cortex,50.18623482,33.42105263,7.076923077,NA
69,70,R_pericalcarine,R,NA,cortex,12.03608247,-79.29381443,6.324742268,NA
70,71,R_postcentral,R,NA,cortex,47.98839907,-18.33410673,42.02088167,NA
71,72,R_posteriorcingulate,R,NA,cortex,6.893982808,-18.71060172,37.747851,NA
72,73,R_precentral,R,NA,cortex,40.73893521,-6.402822322,45.37908916,NA
73,74,R_precuneus,R,NA,cortex,9.8752,-57.0144,37.9904,NA
74,75,R_rostralanteriorcingulate,R,NA,cortex,6.909090909,36.43062201,5.722488038,NA
75,76,R_rostralmiddlefrontal,R,NA,cortex,34.19542254,46.62059859,17.62147887,NA
76,77,R_superiorfrontal,R,NA,cortex,12.25618434,30.98678414,44.20806506,NA
77,78,R_superiorparietal,R,NA,cortex,23.93701657,-61.97016575,53.48176796,NA
78,79,R_superiortemporal,R,NA,cortex,54.69245902,-6.470819672,-5.075409836,NA
79,80,R_supramarginal,R,NA,cortex,57.08622398,-28.15460852,31.41526264,NA
80,81,R_frontalpole,R,NA,cortex,8.307692308,65.10059172,-11.31360947,NA
81,82,R_temporalpole,R,NA,cortex,30.44623656,15.6827957,-35.7311828,NA
82,83,R_transversetemporal,R,NA,cortex,45.21875,-19.25,7.90625,NA
83,84,R_insula,R,NA,cortex,36.88505747,1.337931034,-1.740229885,NA
84,85,Cereb_Visual,NA,NA,cereb,NA,NA,NA,#A76CD4
85,86,Cereb_Somatomotor,NA,NA,cereb,NA,NA,NA,#6C92D4
86,87,Cereb_Dorsal Attention,NA,NA,cereb,NA,NA,NA,#3C9F4D
87,88,Cereb_Ventral Attention,NA,NA,cereb,NA,NA,NA,#E586E5
88,89,Cereb_Limbic,NA,NA,cereb,NA,NA,NA,#F6EFD1
89,90,Cereb_Fronto-Parietal,NA,NA,cereb,NA,NA,NA,#FDB841
90,91,Cereb_Default-Mode,NA,NA,cereb,NA,NA,NA,#D77C7C
91,92,Community1,NA,NA,midbrain,NA,NA,NA,#8a8a8a
92,93,Community2,NA,NA,midbrain,NA,NA,NA,#8a8a8a
93,94,Community3,NA,NA,midbrain,NA,NA,NA,#8a8a8a
94,95,Community4,NA,NA,midbrain,NA,NA,NA,#8a8a8a
95,96,Community5,NA,NA,midbrain,NA,NA,NA,#8a8a8a
96,97,Diencephalic,NA,NA,midbrain,NA,NA,NA,#8a8a8a
