 ,ID,Label,Network,regions,x,y,z,colors
26,27,CinguloOperc_3,CinguloOperc,cortex,-8.4,14.6,33.8,#4682B4
27,28,CinguloOperc_4,CinguloOperc,cortex,-9,25.3,27.7,#4682B4
28,29,Salience_1,Salience,cortex,-10,33.9,21.5,#4682B4
29,30,SMhand_2,SMhand,cortex,-10.7,-47.5,60.3,#4682B4
30,31,SMhand_3,SMhand,cortex,-15.6,-33.1,66.1,#4682B4
31,32,SMhand_4,SMhand,cortex,-10.9,-29.3,69.5,#4682B4
32,33,SMhand_5,SMhand,cortex,-6.6,-20.4,74.2,#4682B4
33,34,CinguloOperc_5,CinguloOperc,cortex,-8,-8.7,62.9,#4682B4
34,35,SMhand_6,SMhand,cortex,-10.8,-41.1,64.9,#4682B4
35,36,SMhand_7,SMhand,cortex,-5,-28.2,60.4,#4682B4
36,37,SMhand_8,SMhand,cortex,-5.4,-15.9,48.8,#4682B4
37,38,SMhand_9,SMhand,cortex,-35.8,-29.7,54.5,#4682B4
38,39,SMmouth_2,SMmouth,cortex,-41.5,-12.5,50.4,#4682B4
39,40,CinguloOperc_6,CinguloOperc,cortex,-42.1,-4.5,47.3,#4682B4
40,41,DorsalAttn_1,DorsalAttn,cortex,-27.3,-6.8,46.3,#4682B4
41,42,DorsalAttn_2,DorsalAttn,cortex,-27.3,1.9,52.9,#4682B4
42,43,DorsalAttn_3,DorsalAttn,cortex,-19.8,6.4,55.7,#4682B4
43,44,Default_6,Default,cortex,-19.5,30.1,45.5,#2ACCA4
44,45,SMhand_10,SMhand,cortex,-36.8,-22.8,61.9,#2ACCA4
45,46,SMhand_11,SMhand,cortex,-20.5,-24.9,64.5,#2ACCA4
46,47,SMhand_12,SMhand,cortex,-23.4,-13.8,64.2,#2ACCA4
47,48,SMhand_13,SMhand,cortex,-17.2,-8.6,67.9,#2ACCA4
48,49,DorsalAttn_4,DorsalAttn,cortex,-21.3,-0.2,62.7,#2ACCA4
49,50,SMhand_14,SMhand,cortex,-28.6,-44.7,61.7,#2ACCA4
50,51,DorsalAttn_5,DorsalAttn,cortex,-31.1,-48.9,47.1,#2ACCA4
51,52,DorsalAttn_6,DorsalAttn,cortex,-42.9,-45,43,#2ACCA4
52,53,SMmouth_3,SMmouth,cortex,-51.5,-11.9,29.7,#2ACCA4
53,54,SMhand_15,SMhand,cortex,-54.1,-21.3,40.8,#2ACCA4
54,55,DorsalAttn_7,DorsalAttn,cortex,-51.7,-30.9,39.9,#2ACCA4
55,56,SMhand_16,SMhand,cortex,-35.2,-35.3,42,#2ACCA4
56,57,SMhand_17,SMhand,cortex,-27.5,-37.2,61.4,#2ACCA4
57,58,SMhand_18,SMhand,cortex,-47.2,-31.4,54.8,#2ACCA4
58,59,SMmouth_4,SMmouth,cortex,-46.1,-17.8,52.7,#2ACCA4
59,60,VentralAttn_2,VentralAttn,cortex,-44.8,-54,14.6,#4A9B3C
60,61,VentralAttn_3,VentralAttn,cortex,-51.6,-55.9,11.4,#4A9B3C
61,62,VentralAttn_4,VentralAttn,cortex,-48.1,-40,2.4,#4A9B3C
62,63,CinguloOperc_7,CinguloOperc,cortex,-57.7,-40.6,35.8,#4A9B3C
63,64,Auditory_2,Auditory,cortex,-46.3,-41.4,25.9,#4A9B3C
64,65,Auditory_3,Auditory,cortex,-35.8,-33.5,19.9,#4A9B3C
65,66,Auditory_4,Auditory,cortex,-52.7,-20.6,5.4,#4A9B3C
66,67,Auditory_5,Auditory,cortex,-59.6,-38.5,16.5,#4A9B3C
67,68,Auditory_6,Auditory,cortex,-58.7,-29.9,11.1,#4A9B3C
68,69,Auditory_7,Auditory,cortex,-40.6,-38.3,14.5,#4A9B3C
69,70,Auditory_8,Auditory,cortex,-33.7,-21.8,9.9,#4A9B3C
70,71,CinguloOperc_8,CinguloOperc,cortex,-38.7,-16,-5.3,#4A9B3C
71,72,CinguloOperc_9,CinguloOperc,cortex,-39.1,-1.6,-12.2,#4A9B3C
72,73,None_4,None,cortex,-33.6,17.2,-31.5,#00760E
73,74,DorsalAttn_8,DorsalAttn,cortex,-43.6,36.3,8.5,#00760E
74,75,VentralAttn_5,VentralAttn,cortex,-50,20.8,10.6,#00760E
75,76,CinguloOperc_10,CinguloOperc,cortex,-37.7,2.9,11.7,#00760E
76,77,Auditory_9,Auditory,cortex,-37.2,-14,19.4,#00760E
77,78,FrontoParietal_4,FrontoParietal,cortex,-40.3,50.4,-4.8,#00760E
78,79,VentralAttn_6,VentralAttn,cortex,-47.2,39,-9.1,#00760E
79,80,VentralAttn_7,VentralAttn,cortex,-29.1,20.5,-14,#00760E
80,81,CinguloOperc_11,CinguloOperc,cortex,-36.6,1.4,6.4,#00760E
81,82,CinguloOperc_12,CinguloOperc,cortex,-37.3,8.9,-0.9,#00760E
82,83,Salience_2,Salience,cortex,-32.5,17.2,-7.8,#00760E
83,84,CinguloOperc_13,CinguloOperc,cortex,-28.8,23.7,8.4,#00760E
84,85,VentralAttn_8,VentralAttn,cortex,-44.3,33.2,-7.2,#00760E
85,86,VentralAttn_9,VentralAttn,cortex,-45.4,28.8,0.8,#C43AFA
86,87,DorsalAttn_9,DorsalAttn,cortex,-20.4,-64.6,51.4,#C43AFA
87,88,DorsalAttn_10,DorsalAttn,cortex,-25.8,-65,32.2,#C43AFA
88,89,CinguloParietal_2,CinguloParietal,cortex,-12.7,-64.9,31.8,#C43AFA
89,90,Visual_7,Visual,cortex,-13.7,-77.4,26.6,#C43AFA
90,91,DorsalAttn_11,DorsalAttn,cortex,-9.9,-56.9,59.8,#C43AFA
91,92,DorsalAttn_12,DorsalAttn,cortex,-7.1,-63.7,54.9,#C43AFA
92,93,CinguloParietal_3,CinguloParietal,cortex,-10.9,-73.4,42.9,#C43AFA
93,94,Default_7,Default,cortex,-39.3,-73.9,38.3,#C43AFA
94,95,DorsalAttn_13,DorsalAttn,cortex,-30,-74.1,36.1,#C43AFA
95,96,FrontoParietal_5,FrontoParietal,cortex,-34.1,-61,42.4,#C43AFA
96,97,Visual_8,Visual,cortex,-31.3,-84.2,9,#C43AFA
97,98,Visual_9,Visual,cortex,-34.2,-86.6,-0.5,#C43AFA
98,99,Visual_10,Visual,cortex,-43.4,-67.6,9.7,#C43AFA
99,100,DorsalAttn_14,DorsalAttn,cortex,-46.2,-57.7,-7.9,#C43AFA
100,101,CinguloOperc_14,CinguloOperc,cortex,-59.8,-4.1,8.8,#FF98D5
101,102,Auditory_10,Auditory,cortex,-52.2,-14.1,15.2,#FF98D5
102,103,CinguloOperc_15,CinguloOperc,cortex,-55.1,-32.3,23,#FF98D5
103,104,Auditory_11,Auditory,cortex,-50.6,-22.4,19.2,#FF98D5
104,105,CinguloOperc_16,CinguloOperc,cortex,-58.8,-23.9,31,#FF98D5
105,106,DorsalAttn_15,DorsalAttn,cortex,-45.2,2.7,32.4,#FF98D5
106,107,DorsalAttn_16,DorsalAttn,cortex,-34.7,5.6,34,#FF98D5
107,108,FrontoParietal_6,FrontoParietal,cortex,-43,19.4,33.5,#FF98D5
108,109,FrontoParietal_7,FrontoParietal,cortex,-40.2,23.6,23.3,#7A8732
109,110,DorsalAttn_17,DorsalAttn,cortex,-37.6,38.4,17.2,#7A8732
110,111,CinguloOperc_17,CinguloOperc,cortex,-51.8,-0.6,5,#7A8732
111,112,CinguloOperc_18,CinguloOperc,cortex,-48.6,7.5,11.1,#7A8732
112,113,DorsalAttn_18,DorsalAttn,cortex,-41.6,8.7,22.2,#7A8732
113,114,Default_8,Default,cortex,-27.5,53.6,0,#DCF8A4
114,115,None_5,None,cortex,-23.4,61,-6.8,#DCF8A4
115,116,Default_9,Default,cortex,-5.9,54.8,-11.3,#DCF8A4
116,117,Default_10,Default,cortex,-6.8,38.2,-9.4,#DCF8A4
117,118,None_6,None,cortex,-31.8,2.6,-16.8,#DCF8A4
118,119,None_7,None,cortex,-34.7,35.6,-9.6,#DCF8A4
119,120,None_8,None,cortex,-22.5,32.1,-13.6,#DCF8A4
120,121,None_9,None,cortex,-23.8,52.2,-12.8,#E69422
121,122,None_10,None,cortex,-17.3,46.6,-17.9,#E69422
122,123,None_11,None,cortex,-13.3,24,-16.4,#E69422
123,124,None_12,None,cortex,-8.9,45.5,-20.8,#E69422
124,125,None_13,None,cortex,-2.5,33.8,-26.2,#E69422
125,126,Default_11,Default,cortex,-63.2,-28.7,-7.2,#E69422
126,127,Default_12,Default,cortex,-53.1,-11.4,-16,#E69422
127,128,None_14,None,cortex,-53.2,-13,-29.2,#E69422
128,129,None_15,None,cortex,-44.6,9,-37,#E69422
129,130,RetrosplenialTemporal_3,RetrosplenialTemporal,cortex,-33.8,-33.2,-15.4,#E69422
130,131,Visual_11,Visual,cortex,-28.8,-58.8,-9.1,#E69422
131,132,Visual_12,Visual,cortex,-34.4,-63.9,-15.7,#E69422
132,133,None_16,None,cortex,-55.1,-39.6,-16.2,#E69422
133,134,None_17,None,cortex,-32,-3.9,-45.2,#87324A
134,135,None_18,None,cortex,-38.6,-13,-26.9,#87324A
135,136,Visual_13,Visual,cortex,-34.3,-43.8,-21.6,#87324A
136,137,Visual_14,Visual,cortex,-5.4,-88,18.6,#87324A
137,138,Visual_15,Visual,cortex,-8.6,-77.5,-3.5,#87324A
138,139,Visual_16,Visual,cortex,-41.2,-72.1,-5.9,#87324A
139,140,Visual_17,Visual,cortex,-25.2,-97.2,-7.9,#87324A
140,141,Visual_18,Visual,cortex,-22.6,-81.7,-11.7,#87324A
141,142,None_19,None,cortex,-20.5,-12.6,-23.7,#87324A
142,143,RetrosplenialTemporal_4,RetrosplenialTemporal,cortex,-22.5,-37.1,-15,#87324A
143,144,None_20,None,cortex,-22,-21.9,-17.4,#778CB0
144,145,Default_13,Default,cortex,-15.9,48.6,37.2,#778CB0
145,146,Default_14,Default,cortex,-19.5,56.3,27.5,#778CB0
146,147,CinguloOperc_19,CinguloOperc,cortex,-26.6,46.8,20.9,#778CB0
147,148,FrontoParietal_8,FrontoParietal,cortex,-21.3,63.1,1.9,#778CB0
148,149,FrontoParietal_9,FrontoParietal,cortex,-28.6,50.9,10.1,#FFFF00
149,150,Default_15,Default,cortex,-6.5,54.7,18.1,#FFFF00
150,151,Default_16,Default,cortex,-15.7,64.7,13.7,#FFFF00
151,152,Default_17,Default,cortex,-6,44.9,6.3,#FFFF00
152,153,CinguloOperc_20,CinguloOperc,cortex,-28.8,38.3,28.2,#FFFF00
153,154,Default_18,Default,cortex,-26.2,26.6,38.8,#FFFF00
154,155,DorsalAttn_19,DorsalAttn,cortex,-35.7,33.1,32,#FFFF00
155,156,Default_19,Default,cortex,-29.3,16.8,50.7,#FFFF00
156,157,Default_20,Default,cortex,-41.7,16.1,47.5,#FFFF00
157,158,VentralAttn_10,VentralAttn,cortex,-38.7,4.8,48.4,#FFFF00
158,159,None_21,None,cortex,-50.8,6.9,-20.1,#FFFF00
159,160,Auditory_12,Auditory,cortex,-54.4,-1.4,-0.7,#FFFF00
160,161,VentralAttn_11,VentralAttn,cortex,-59,-18,-3,#FFFF00
161,162,Default_21,Default,cortex,12.3,-51.6,34.5,#FFFF00
162,163,SMhand_19,SMhand,cortex,20.8,-48.2,66.1,#FFFF00
163,164,SMmouth_5,SMmouth,cortex,49.6,-7.4,36.1,#FFFF00
164,165,Default_22,Default,cortex,11.9,21.9,59.9,#FFFF00
165,166,Visual_19,Visual,cortex,22,-84.6,23.7,#FFFF00
166,167,FrontoParietal_10,FrontoParietal,cortex,47.9,-42.5,41.5,#CD3E4E
167,168,FrontoParietal_11,FrontoParietal,cortex,38.1,45.9,7.7,#CD3E4E
168,169,Visual_20,Visual,cortex,22.3,-46.5,-9.9,#CD3E4E
169,170,FrontoParietal_12,FrontoParietal,cortex,59.7,-41,-10.9,#CD3E4E
170,171,Auditory_13,Auditory,cortex,33.6,-22.3,13,#CD3E4E
171,172,None_22,None,cortex,32.5,13.6,-30.5,#CD3E4E
172,173,CinguloParietal_4,CinguloParietal,cortex,7.6,-27,28.4,#CD3E4E
173,174,RetrosplenialTemporal_5,RetrosplenialTemporal,cortex,13.8,-54.1,10.9,#CD3E4E
174,175,Visual_21,Visual,cortex,15.5,-74.1,9.4,#CD3E4E
175,176,Visual_22,Visual,cortex,19.6,-45.3,-4.4,#CD3E4E
176,177,Visual_23,Visual,cortex,15.6,-59.6,-5,#CD3E4E
177,178,None_23,None,cortex,24.9,-35.9,-4.8,#CD3E4E
178,179,None_24,None,cortex,19.4,-29.9,-9.7,#CD3E4E
179,180,CinguloOperc_21,CinguloOperc,cortex,16.2,-33.1,43.2,#CD3E4E
180,181,CinguloOperc_22,CinguloOperc,cortex,6.7,5,55.9,#CD3E4E
181,182,FrontoParietal_13,FrontoParietal,cortex,7,25.7,47.3,#CD3E4E
182,183,Salience_3,Salience,cortex,8.4,34.7,22.6,#CD3E4E
183,184,Default_23,Default,cortex,7.7,44.1,5.5,#CD3E4E
184,185,CinguloOperc_23,CinguloOperc,cortex,8.6,4.2,40.1,#CD3E4E
185,186,Default_24,Default,cortex,3,-19.6,37.9,#CD3E4E
186,187,CinguloOperc_24,CinguloOperc,cortex,8.8,10.8,45.9,#CD3E4E
187,188,CinguloOperc_25,CinguloOperc,cortex,6,21.8,32.4,#000082
188,189,DorsalAttn_20,DorsalAttn,cortex,10.3,-57.3,58.3,#000082
189,190,SMhand_20,SMhand,cortex,16.5,-32.8,67.7,#000082
190,191,SMhand_21,SMhand,cortex,4.8,-27.1,64.8,#000082
191,192,CinguloOperc_26,CinguloOperc,cortex,16.2,0.8,67.5,#000082
192,193,SMhand_22,SMhand,cortex,11.9,-40.7,67,#000082
193,194,SMhand_23,SMhand,cortex,5.1,-17.1,51.6,#000082
194,195,SMhand_24,SMhand,cortex,6.8,-8.1,50.9,#0C30FF
195,196,CinguloOperc_27,CinguloOperc,cortex,8,-6.2,63.7,#0C30FF
196,197,SMmouth_6,SMmouth,cortex,42.3,-11,47.3,#0C30FF
197,198,CinguloOperc_28,CinguloOperc,cortex,42.5,-2.3,47.2,#0C30FF
198,199,DorsalAttn_21,DorsalAttn,cortex,29.2,1.9,52.4,#0C30FF
199,200,Default_25,Default,cortex,21.9,21,46.2,#0C30FF
200,201,SMhand_25,SMhand,cortex,38.1,-22.4,60.3,#781286
201,202,SMhand_26,SMhand,cortex,19.7,-25,65.2,#781286
202,203,DorsalAttn_22,DorsalAttn,cortex,29.9,-7.8,47.4,#781286
203,204,SMhand_27,SMhand,cortex,12.4,-28.3,69.6,#781286
204,205,SMhand_28,SMhand,cortex,29.2,-13.5,64.2,#781286
205,206,SMhand_29,SMhand,cortex,17,-16.9,70.9,#781286
206,207,SMhand_30,SMhand,cortex,20.9,-6.4,65,#781286
207,208,DorsalAttn_23,DorsalAttn,cortex,22.6,5.6,57.6,#781286
208,209,SMhand_31,SMhand,cortex,29.5,-42.5,60.4,#781286
209,210,SMhand_32,SMhand,cortex,34.2,-40.6,51.6,#781286
210,211,DorsalAttn_24,DorsalAttn,cortex,38.8,-42.6,40.4,#781286
211,212,SMmouth_7,SMmouth,cortex,53.9,-8.3,26.1,#781286
212,213,SMhand_33,SMhand,cortex,39.6,-31.5,39.7,#FA0000
213,214,SMhand_34,SMhand,cortex,28,-34.8,63.1,#FA0000
214,215,SMhand_35,SMhand,cortex,39.2,-34.6,57.5,#FA0000
215,216,SMhand_36,SMhand,cortex,37.3,-25.9,50.9,#FA0000
216,217,SMhand_37,SMhand,cortex,48.7,-26.1,52.2,#FA0000
217,218,SMmouth_8,SMmouth,cortex,47.8,-15.1,49.3,#FA0000
218,219,CinguloOperc_29,CinguloOperc,cortex,57.5,-40.3,34.7,#FA0000
219,220,Default_26,Default,cortex,48.9,-53,28.6,#FA0000
220,221,VentralAttn_12,VentralAttn,cortex,57.5,-45.3,9,#FA0000
221,222,VentralAttn_13,VentralAttn,cortex,60.9,-38.7,1.7,#FA0000
222,223,CinguloOperc_30,CinguloOperc,cortex,54.9,-27,29.6,#FA0000
223,224,Auditory_14,Auditory,cortex,36.4,-30.7,19.4,#4682B4
224,225,Default_27,Default,cortex,62.5,-25.6,-5.5,#4682B4
225,226,VentralAttn_14,VentralAttn,cortex,57.1,-17,-2.6,#4682B4
226,227,Auditory_15,Auditory,cortex,53.8,-15.8,5.2,#4682B4
227,228,VentralAttn_15,VentralAttn,cortex,47.4,-39.6,13.2,#4682B4
228,229,VentralAttn_16,VentralAttn,cortex,45.5,-37.3,3.4,#4682B4
229,230,Auditory_16,Auditory,cortex,59.2,-38.6,14.6,#4682B4
230,231,VentralAttn_17,VentralAttn,cortex,48.5,-26.5,-0.1,#4682B4
231,232,Auditory_17,Auditory,cortex,61.7,-24,1.3,#4682B4
232,233,Auditory_18,Auditory,cortex,60,-25.2,10.2,#4682B4
233,234,CinguloOperc_31,CinguloOperc,cortex,38.8,-14.4,-5,#4682B4
234,235,CinguloOperc_32,CinguloOperc,cortex,39.7,1.2,-13.1,#4682B4
235,236,DorsalAttn_25,DorsalAttn,cortex,36.8,37.8,13.1,#4682B4
236,237,VentralAttn_18,VentralAttn,cortex,52.5,23.7,10.3,#4682B4
237,238,CinguloOperc_33,CinguloOperc,cortex,36.7,5.2,12.7,#4682B4
238,239,Auditory_19,Auditory,cortex,38.4,-12.2,20,#4682B4
239,240,FrontoParietal_14,FrontoParietal,cortex,42.8,48.3,-5.1,#4682B4
240,241,VentralAttn_19,VentralAttn,cortex,48.1,38.3,-9.2,#4682B4
241,242,VentralAttn_20,VentralAttn,cortex,45.2,30.7,-5.6,#4682B4
242,243,VentralAttn_21,VentralAttn,cortex,27.4,19.7,-14.9,#4682B4
243,244,Auditory_20,Auditory,cortex,36.6,-10,12.4,#2ACCA4
244,245,CinguloOperc_34,CinguloOperc,cortex,39.6,10.4,-1.6,#2ACCA4
245,246,CinguloOperc_35,CinguloOperc,cortex,36.5,5.7,6,#2ACCA4
246,247,Salience_4,Salience,cortex,30.6,22.8,-4.7,#2ACCA4
247,248,CinguloOperc_36,CinguloOperc,cortex,33.7,22.6,3.7,#2ACCA4
248,249,CinguloOperc_37,CinguloOperc,cortex,34,24.4,10,#2ACCA4
249,250,DorsalAttn_26,DorsalAttn,cortex,48.1,38.4,2.4,#2ACCA4
250,251,Visual_24,Visual,cortex,26.8,-55,54.2,#2ACCA4
251,252,DorsalAttn_27,DorsalAttn,cortex,23,-66.4,51.8,#2ACCA4
252,253,DorsalAttn_28,DorsalAttn,cortex,32.3,-63.6,33.8,#2ACCA4
253,254,CinguloParietal_5,CinguloParietal,cortex,15.6,-69.5,39.6,#2ACCA4
254,255,Visual_25,Visual,cortex,17.6,-78.3,34,#2ACCA4
255,256,Visual_26,Visual,cortex,7.7,-85.6,31.6,#2ACCA4
256,257,Default_28,Default,cortex,7.4,-69.3,49.9,#2ACCA4
257,258,Visual_27,Visual,cortex,35.4,-77.1,21.1,#2ACCA4
258,259,Default_29,Default,cortex,46.5,-67.3,36.2,#4A9B3C
259,260,FrontoParietal_15,FrontoParietal,cortex,41.5,-53.5,44,#4A9B3C
260,261,FrontoParietal_16,FrontoParietal,cortex,35.7,-56.7,45.2,#4A9B3C
261,262,DorsalAttn_29,DorsalAttn,cortex,33.5,-48.2,49.4,#4A9B3C
262,263,Visual_28,Visual,cortex,31.7,-85.7,2.4,#4A9B3C
263,264,Visual_29,Visual,cortex,43.8,-67.2,2,#4A9B3C
264,265,Visual_30,Visual,cortex,47.3,-52.4,-11.7,#4A9B3C
265,266,DorsalAttn_30,DorsalAttn,cortex,57,-53.8,-1.1,#4A9B3C
266,267,Visual_31,Visual,cortex,49,-54.5,8.8,#4A9B3C
267,268,Auditory_21,Auditory,cortex,60.9,-2.2,10.7,#4A9B3C
268,269,Auditory_22,Auditory,cortex,54.2,-13.6,16.9,#4A9B3C
269,270,SMhand_38,SMhand,cortex,53,-22.7,39.1,#4A9B3C
270,271,DorsalAttn_31,DorsalAttn,cortex,47.3,2,37.6,#4A9B3C
271,272,FrontoParietal_17,FrontoParietal,cortex,37.8,28.7,35.6,#4A9B3C
272,273,FrontoParietal_18,FrontoParietal,cortex,41.8,29.1,21.6,#00760E
273,274,CinguloOperc_38,CinguloOperc,cortex,50.1,3,3.9,#00760E
274,275,DorsalAttn_32,DorsalAttn,cortex,46.6,7.8,19.3,#00760E
275,276,FrontoParietal_19,FrontoParietal,cortex,38.6,18.8,25.5,#00760E
276,277,FrontoParietal_20,FrontoParietal,cortex,28.4,57,-5.1,#00760E
277,278,Default_30,Default,cortex,4.8,65.1,-7.1,#00760E
278,279,Default_31,Default,cortex,7.2,48.4,-10.1,#00760E
279,280,None_25,None,cortex,2.9,18.7,-23.2,#00760E
280,281,None_26,None,cortex,35.1,37.3,-8.4,#00760E
281,282,None_27,None,cortex,25.4,8.9,-15.7,#00760E
282,283,None_28,None,cortex,21.2,30.3,-15.2,#00760E
283,284,None_29,None,cortex,21.6,51.1,-14.1,#00760E
284,285,None_30,None,cortex,11.9,25.7,-24.8,#C43AFA
285,286,None_31,None,cortex,13.5,20.3,-15.2,#C43AFA
286,287,None_32,None,cortex,10.9,39.1,-19.7,#C43AFA
287,288,None_33,None,cortex,2.2,39,-25.6,#C43AFA
288,289,None_34,None,cortex,62.3,-26.4,-16,#C43AFA
289,290,Default_32,Default,cortex,57.5,-7.4,-16.4,#C43AFA
290,291,None_35,None,cortex,54.7,-7.8,-26.9,#C43AFA
291,292,None_36,None,cortex,45.2,13.6,-30.1,#C43AFA
292,293,Visual_32,Visual,cortex,31.2,-45.6,-5.8,#C43AFA
293,294,RetrosplenialTemporal_6,RetrosplenialTemporal,cortex,34.6,-35.6,-12.3,#C43AFA
294,295,RetrosplenialTemporal_7,RetrosplenialTemporal,cortex,34.6,-23.9,-20.4,#C43AFA
295,296,None_37,None,cortex,20.1,-21.4,-21.5,#C43AFA
296,297,None_38,None,cortex,28,-0.4,-37.3,#C43AFA
297,298,Visual_33,Visual,cortex,26.9,-69.1,-6.6,#C43AFA
298,299,Visual_34,Visual,cortex,34.9,-44,-20,#C43AFA
299,300,None_39,None,cortex,36.8,7.7,-37.9,#C43AFA
300,301,None_40,None,cortex,54.5,-9.6,-37,#C43AFA
301,302,None_41,None,cortex,56.4,-27,-19.4,#C43AFA
302,303,None_42,None,cortex,31.1,2.2,-46.1,#C43AFA
303,304,None_43,None,cortex,39.5,-11.9,-29.7,#FF98D5
304,305,None_44,None,cortex,31.6,-9.4,-35.5,#FF98D5
305,306,None_45,None,cortex,43.4,-24.1,-20.8,#FF98D5
306,307,Visual_35,Visual,cortex,13.8,-92.3,14.7,#FF98D5
307,308,Visual_36,Visual,cortex,10.5,-73.8,-1.5,#FF98D5
308,309,Visual_37,Visual,cortex,20.4,-87.3,-6.6,#FF98D5
309,310,Visual_38,Visual,cortex,5.1,-80.2,23.1,#FF98D5
310,311,Visual_39,Visual,cortex,14.6,-70.3,23.3,#FF98D5
311,312,None_46,None,cortex,19.5,-10.8,-24.9,#FF98D5
312,313,RetrosplenialTemporal_8,RetrosplenialTemporal,cortex,24.5,-36.2,-13.2,#7A8732
313,314,None_47,None,cortex,30.4,-18.8,-19.4,#7A8732
314,315,Default_33,Default,cortex,21,32.8,42.1,#7A8732
315,316,Default_34,Default,cortex,21.4,42.8,35.1,#7A8732
316,317,CinguloOperc_39,CinguloOperc,cortex,24.4,50.8,24.3,#7A8732
317,318,CinguloOperc_40,CinguloOperc,cortex,31.3,39.7,25.6,#7A8732
318,319,FrontoParietal_21,FrontoParietal,cortex,23.5,59.1,4.9,#DCF8A4
319,320,FrontoParietal_22,FrontoParietal,cortex,30.9,52.2,9.9,#DCF8A4
320,321,Default_35,Default,cortex,16,61,19.8,#DCF8A4
321,322,Default_36,Default,cortex,8.2,53.8,14,#DCF8A4
322,323,Default_37,Default,cortex,5.9,54.9,29.4,#DCF8A4
323,324,Default_38,Default,cortex,13.8,46.7,42.1,#DCF8A4
324,325,Default_39,Default,cortex,6.8,44.5,34.8,#E69422
325,326,Default_40,Default,cortex,30.6,18.9,48.7,#E69422
326,327,FrontoParietal_23,FrontoParietal,cortex,42.4,19.5,48.2,#E69422
327,328,FrontoParietal_24,FrontoParietal,cortex,38.9,9.6,42.7,#E69422
328,329,Auditory_23,Auditory,cortex,39.7,-22.5,2.6,#E69422
329,330,Auditory_24,Auditory,cortex,55.8,2,-2,#E69422
330,331,Default_41,Default,cortex,54.4,1.1,-12.9,#E69422
331,332,VentralAttn_22,VentralAttn,cortex,57.1,-6.3,-7.7,#E69422
332,333,VentralAttn_23,VentralAttn,cortex,46.6,-21.5,-8.5,#E69422
333,334,L_Accumbens,Subcortex,sctx,-9,12,-6,#6BD3FF
334,335,L_Amygdala,Subcortex,sctx,-23,-5,-20,#6BD3FF
335,336,L_Caudate,Subcortex,sctx,-13,6,11,#6BD3FF
336,337,L_Hippocampus,Subcortex,sctx,-25,-23,-14,#6BD3FF
337,338,L_Pallidum,Subcortex,sctx,-20,-5,-1,#6BD3FF
338,339,L_Putamen,Subcortex,sctx,-26,0,0,#6BD3FF
339,340,L_Thalamus,Subcortex,sctx,-11,-19,6,#6BD3FF
340,341,R_Accumbens,Subcortex,sctx,10,12,-7,#6BD3FF
341,342,R_Amygdala,Subcortex,sctx,24,-4,-20,#6BD3FF
342,343,R_Caudate,Subcortex,sctx,14,9,10,#6BD3FF
343,344,R_Hippocampus,Subcortex,sctx,27,-21,-14,#6BD3FF
344,345,R_Pallidum,Subcortex,sctx,21,-4,-1,#6BD3FF
345,346,R_Putamen,Subcortex,sctx,26,3,-1,#6BD3FF
346,347,R_Thalamus,Subcortex,sctx,12,-18,7,#6BD3FF
347,348,Cereb_Visual,Cerebellum,cereb,0,0,0,
348,349,Cereb_Somatomotor,Cerebellum,cereb,0,0,0,
